ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Rum,White Rum,CANADA,486621,BACARDI - SUPERIOR WHITE PET,620213015297,1.14,1,40,35.49,0
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,612580,(REPACK)MICHTERS - SMALL BATCH SOUR MASH,39383009072,0.75,1,43,96.99,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,631291,MALBEC - DONA PAULA ESTATE MENDOZA UCO VALLEY,836950000056,0.75,1,14.5,19.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,674116,BLACK FLY - MAXX RASPBERRY RUSH CAN,883043003470,0.25,1,12,3.79,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,862086,EDRADOUR - 10 YEAR OLD,5010739261981,0.7,1,43,100.99,NA
Wine,France Wine,France Red Wine,FRANCE,64739,PAUILLAC - CHATEAU GRAND PUY LACOSTE 2018,,0.75,1,13,190,NA
Wine,France Wine,France Red Wine,FRANCE,142904,MARGAUX - CHATEAU D'ISSAN 2018,3609050943755,0.75,1,13,160,NA
Spirits,Tequila,Gold Tequila,MEXICO,144645,JOSE CUERVO - ESPECIAL GOLD,811538014397,0.2,1,40,12.49,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,266789,SYNC - PINOT GRIGIO,48162021556,0.75,1,12,12.99,1
Wine,Chile Wine,Chile Red Wine,CHILE,279748,SYRAH - POLKURA MARCHIQUE COLCHAGUA 2019,7804611490747,0.75,1,14.5,27.97,0
Wine,Chile Wine,Chile Rose Wine,CHILE,282919,ROSE - 7 COLORES,7804449015334,0.75,1,13,15.99,0
Wine,France Wine,France Red Wine,FRANCE,327935,PAUILLAC - CHATEAU D'ARMAILHAC 2022,696852223201,0.75,1,13,135,NA
Wine,France Wine,France Red Wine,FRANCE,347269,ST EMILION - CLOS FOURTET 2020,,0.75,1,12.5,275,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,358341,ANCNOC - 12 YEAR OLD,5010509427067,0.7,1,40,81.99,0
Wine,Canada - BC,Canada - BC Sparkling Wine,CANADA,365659,SAINTLY - THE GOOD SPARKLING ROSE LIMITED RELEASE 2024,63657046258,0.75,1,12,16.99,0
Wine,France Wine,France Red Wine,FRANCE,430309,MARGAUX - CHATEAU MARGAUX 2021,,0.75,1,13,1500,NA
Wine,France Wine,France Red Wine,FRANCE,434170,MARGAUX - CHATEAU PALMER 2021,,0.75,1,13,800,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,443870,MISSION HILL - FAMILY ESTATE QUATRAIN 2020,776545556578,0.75,1,14,84.99,0
Wine,France Wine,France Red Wine,FRANCE,457552,ST JULIEN - LE PETIT LION DU MARQUIS DE LAS CASES 2020,,0.75,1,13,135,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,606665,CABERNET SAUVIGNON MALBEC - CATENA ZAPATA NICOLAS 2020,7794450008305,0.75,1,13.5,134.99,0
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,778332,SAUVIGNON BLANC - SEVEN TERRACES MARLBOROUGH,694596906152,0.75,1,12.5,19.99,0
Wine,Canada - BC,Canada - BC Dessert Wine,CANADA,34,PARADISE RANCH - MERLOT LATE HARVEST 2022,626990018377,0.375,1,12.5,20.99,6
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,1947,NELSON BREWING COMPANY - VALHALLA HAZY PALE ALE TALL CAN,626990318323,0.473,4,5.2,14.29,NA
Wine,France Wine,France Red Wine,FRANCE,54145,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,90528,BORDEAUX SUPERIEUR - LES PERRIERES DE LAFLEUR 2018,3328155010918,0.75,1,13,135,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,106179,DOMAINE D'OR - WHITE,48162000414,4,1,11.5,36.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,110070,CABERNET SAUVIGNON - PENFOLDS BIN 704,12354007512,0.75,1,14.5,103.99,0
